tank,fish,sex.observed,group,green.eye.or.eyes.observed.as.adult,which.eyes.have.gfp,std.length,d.spine.1,d.spine.2,d.spine.3,anal.spine,lower.jaw,pec.fin.mid,caudal.mid
3,36,,injected.but.no.fluorescence,FALSE,,68.16,,2.95,0.85,0.5,7.36,9.97,7.51
3,37,,injected.but.no.fluorescence,FALSE,,68.93,,2.85,1.22,1.04,8.18,10.11,8
3,38,,injected.but.no.fluorescence,FALSE,,66.19,,3,1.12,0.96,7.31,8.26,6.79
4,39,m,injected.but.no.fluorescence,FALSE,,54.41,,2.16,0.78,0.19,6.18,7.75,6.83
4,40,,injected.but.no.fluorescence,FALSE,,54.95,,2.5,0.69,0.32,5.75,8.42,6.76
4,41,,injected.but.no.fluorescence,FALSE,,57.45,,2.73,0.64,0.23,6.28,8.31,7.09
4,42,,injected.but.no.fluorescence,FALSE,,54.91,,2.54,0.72,0.22,6.29,8.04,6.56
4,43,m,injected.but.no.fluorescence,FALSE,,59.26,,2.7,0.66,0.37,6.48,8.37,7.21
4,44,,injected.but.no.fluorescence,FALSE,,66.65,,2.86,1.12,0.55,7.14,9.48,7.21
4,45,m,injected.but.no.fluorescence,FALSE,,59.4,,2.3,0.54,0.34,6.22,8.1,6.52
4,46,,injected.but.no.fluorescence,FALSE,,70.69,,3.12,1.32,0.84,7.54,9.91,8.44
4,47,,injected.but.no.fluorescence,FALSE,,68.65,,3.47,1.12,0.68,7.2,10.17,6.93
4,48,,injected.but.no.fluorescence,FALSE,,55.91,,2.41,0.92,0.83,5.75,7.87,6.72
4,49,,injected.but.no.fluorescence,FALSE,,64.59,,3.03,1.02,0.39,6.94,9.3,7.65
4,50,,injected.but.no.fluorescence,FALSE,,56.65,,2.9,0.84,0.82,5.62,8.29,6.84
4,51,,injected.but.no.fluorescence,FALSE,,53.05,,2.06,0.8,0.61,6.32,8.51,6.63
4,52,,injected.but.no.fluorescence,FALSE,,60.42,,2.77,0.91,0.55,6.72,8.15,6.93
4,53,,injected.but.no.fluorescence,FALSE,,68.17,,2.33,0.91,0.61,7.24,8.66,7.51
4,54,m,injected.but.no.fluorescence,FALSE,,66.89,,2.77,0.96,0.79,7.87,9.74,7.85
5,55,m,uninjected,FALSE,,64.36,,2.56,0.97,0.7,7.48,8.94,7.89
5,56,,uninjected,FALSE,,64.62,,3,1.04,0.86,7.2,9.07,7.43
5,57,,uninjected,FALSE,,62.42,,2.73,1.06,0.69,7.17,9.45,6.94
5,58,m,uninjected,FALSE,,67.98,,2.62,1.21,0.54,8.2,9.78,7.82
5,59,,uninjected,FALSE,,62.3,,3.03,0.66,0.43,6.66,9.14,7.67
5,60,,uninjected,FALSE,,66.07,,3.05,1.17,0.58,7.28,9.63,7.62
5,61,m,uninjected,FALSE,,65.1,,2.57,1.16,0.55,8.1,9.36,7.8
